airline_code;airline_name;airline_name_int;airline_legal_name;airline_itn;airline_phone;airline_image;airline_image_png
4H;;HiSky;;;;;
CQ;"Coastal Travels";"Coastal Travels";;;;;
0B;;"Blue Air";;;;;
LC;"Skyway Costa Rica";"Skyway Costa Rica";;;;;
L1;;E-Savtravel;;;;;
2K;"Avianca Ecuador";"Avianca Ecuador";;;;;
WV;"Westair Aviation";"Westair Aviation";;;;;
2C;;SNCF;;;;;
OW;"Skyward Express";"Skyward Express";;;;;
2J;;"Air Burkina";;;;;
CK;"China Cargo Airlines";"China Cargo Airlines";;;;;
3R;"Avior Airlines";"Avior Airlines";;;;/upload/travel/avia/airlines/3R.svg;/upload/travel/avia/airlines/3R.png
A5;;HOP!;;;;/upload/travel/avia/airlines/A5.svg;/upload/travel/avia/airlines/A5.png
CY;;"Cyprus Airways";;;;/upload/travel/avia/airlines/CY.svg;/upload/travel/avia/airlines/CY.png
4Q;;"Safi Airways";;;;;
5C;;"Nature Air";;;;;
BA;"British Airways";"BRITISH AIRWAYS";"ПРЕДСТАВИТЕЛЬСТВО ""БРИТИШ ЭРУЭЙЗ ПЛС"" (ВЕЛИКОБРИТАНИЯ) Г. МОСКВА";9909001512;74999512719;/upload/travel/avia/airlines/BA.svg;/upload/travel/avia/airlines/BA.png
QH;;"Bamboo Airways";;;;/upload/travel/avia/airlines/QH.svg;/upload/travel/avia/airlines/QH.png
BJ;;Nouvelair;;;;/upload/travel/avia/airlines/BJ.svg;/upload/travel/avia/airlines/BJ.png
KZ;;"Nippon Cargo Airlines";;;;;
5J;"Cebu Pacific";"Cebu Pacific";;;;/upload/travel/avia/airlines/5J.svg;/upload/travel/avia/airlines/5J.png
3H;;"Air Inuit";;;;;
9B;;AccesRail;;;;;
9W;;"Jet Airways";;;;/upload/travel/avia/airlines/9W.svg;/upload/travel/avia/airlines/9W.png
RM;;"Armenia Aircompany";;;;;
AP;;"Air One";;;;/upload/travel/avia/airlines/AP.svg;/upload/travel/avia/airlines/AP.png
AT;"Royal Air Maroc";"ROYAL AIR MAROC";"ROYAL AIR MAROC";;;/upload/travel/avia/airlines/AT.svg;/upload/travel/avia/airlines/AT.png
VK;;Level;;;;;
PQ;;"SkyUp Airlines";;;;;
O2;;"Linear Air";;;;;
EX;;"Thai Express Air Co. Ltd";;;;;
DY;"Norwegian Air Shuttle";"Norwegian Air Shuttle";;;;/upload/travel/avia/airlines/DY.svg;/upload/travel/avia/airlines/DY.png
AK;;AirAsia;;;;/upload/travel/avia/airlines/AK.svg;/upload/travel/avia/airlines/AK.png
AI;;"Air India";;;;/upload/travel/avia/airlines/AI.svg;/upload/travel/avia/airlines/AI.png
WW;;"WOW Air ehf";;;;;
BE;;Flybe;;;;/upload/travel/avia/airlines/BE.svg;/upload/travel/avia/airlines/BE.png
2P;;"PAL Express";;;;;
CO;;"Cobalt Air";;;;/upload/travel/avia/airlines/CO.svg;/upload/travel/avia/airlines/CO.png
EI;;"Aer Lingus";;;;/upload/travel/avia/airlines/EI.svg;/upload/travel/avia/airlines/EI.png
3O;;"Air Arabia Maroc";;;;;
3S;;"Air Antilles Express";;;;;
CB;;"Caribbean Air Export Import Inc.";;;;;
3U;;"Sichuan Airlines";;;;/upload/travel/avia/airlines/3U.svg;/upload/travel/avia/airlines/3U.png
2W;;"Welcome Air";;;;;
DX;;"Danish Air Transport";;;;;
WU;;"Wizz Air Ukraine";;;;;
3P;;"Tiara Air Aruba";;;;;
4W;;"Warbelow's Air Ventures";;;;;
CI;;"China Airlines";;;;/upload/travel/avia/airlines/CI.svg;/upload/travel/avia/airlines/CI.png
2N;;Nextjet;;;;;
3E;;"Air Choice One";;;;;
K2;;Eurolot;;;;/upload/travel/avia/airlines/K2.svg;/upload/travel/avia/airlines/K2.png
CA;;"Air China";;;;/upload/travel/avia/airlines/CA.svg;/upload/travel/avia/airlines/CA.png
CX;"Cathay Pacific";"CATHAY PACIFIC AIRWAYS";"CATHAY PACIFIC AIRWAYS";;;/upload/travel/avia/airlines/CX.svg;/upload/travel/avia/airlines/CX.png
3L;;"Intersky Luftfahrt";;;;;
4D;;"Air Sinai";;;;;
QD;Добролет;Dobrolet;;;;;
BK;;"Okay Airways";;;;;
OV;;SalamAir;;;;/upload/travel/avia/airlines/OV.svg;/upload/travel/avia/airlines/OV.png
BP;;"Air Botswana";;;;;
SZ;;"Somon Air";;;;;
4M;"LATAM Argentina";"LATAM Argentina";;;;;
4O;;Interjet;;;;/upload/travel/avia/airlines/4O.svg;/upload/travel/avia/airlines/4O.png
CM;;"Copa Airlines";;;;/upload/travel/avia/airlines/CM.svg;/upload/travel/avia/airlines/CM.png
4T;;"Belair Airlines";;;;;
EW;;Eurowings;;;;/upload/travel/avia/airlines/EW.svg;/upload/travel/avia/airlines/EW.png
TY;;"Air Caledonie";;;;;
DJ;"AirAsia Japan";"AirAsia Japan";;;;;
GE;;"Transasia Airways";;;;;
7A;;"Air Jet";;;;;
EQ;;"TAME Linea Aerea del Ecuador";;;;;
KH;;"Kyrgyz Air";;;;;
TO;;Transavia;;;;;
M5;;"Kenmore Air";;;;;
FB;;"Bulgaria Air";"Bulgaria Air";;;/upload/travel/avia/airlines/FB.svg;/upload/travel/avia/airlines/FB.png
5O;"ASL Airlines France";"ASL Airlines France";;;;;
K4;;"ALS Ltd.";;;;;
HO;;"Juneyao Airlines";;;;;
JS;;"Air Koryo";;;;/upload/travel/avia/airlines/JS.svg;/upload/travel/avia/airlines/JS.png
6Y;;"SmartLynx Airlines";;;;;
7F;;"First Air";;;;;
F9;;"Frontier Airlines";;;;;
TT;;"Tigerair Australia";;;;;
M7;;"Marsland Aviation";;;;;
I8;Ижавиа;Izhavia;;;;/upload/travel/avia/airlines/I8.svg;/upload/travel/avia/airlines/I8.png
GF;;"Gulf Air";;;;/upload/travel/avia/airlines/GF.svg;/upload/travel/avia/airlines/GF.png
5T;;"Canadian North";;;;;
LD;;"AHK Air Hong Kong Limited";;;;;
