airplane_code;airplane_name;airplane_name_int
32N;;"Airbus Industrie A320-212"
221;;"Airbus A220-100 Passenger"
32A;;"Airbus Industrie A320 (Sharklets)"
E90;;"EMBRAER 190"
738;;"Boeing 737-800"
E95;;"Embraer 195"
E75;;"EMBRAER 175"
319;;"Airbus Industrie A319"
CR9;;"Canadair Regional Jet 900"
73H;;"Boeing 737 Passenger Jet"
321;;"Airbus Industrie A321"
332;;"Airbus Industrie A330-200"
333;;"Airbus Industrie A330-300"
32B;;"Airbus Industrie A321 (Sharklets)"
32S;;"Airbus Industrie A318/A319/320/321"
320;;"Airbus Industrie A320-100/200"
DH4;;"De Havilland DHC-8 Dash 8-400"
32Q;;"Airbus Industrie A321 NEO"
735;;"Boeing 737-500"
223;;"Airbus A220-300"
SU9;;"SUKHOI SUPERJET 100"
739;;"Boeing 737-900"
772;;"Boeing 777-200"
789;;"Boeing 787-9 Dreamliner"
733;;"Boeing 737-300/3000C Passenger"
737;;"Boeing 737 all Series Passenger"
318;;"318 J  AIRBUS INDUSTRIE A318"
73J;;"Boeing 737-900 Passenger"
359;;"Airbus Industries A350-900"
77W;;"Boeing 777-300ER"
788;;"Boeing 787-8 Dreamliner"
E70;;"Embraer 170"
787;;"Boeing 787-8 Dreamliner"
339;;"Airbus A330-900neo"
73W;;"Boeing 737-700 (Winglets) Passenger"
744;;"Boeing 747-400"
AT7;;Aerospatiale/Alenia
777;;"Boeing 777"
76W;;"Boeing 767-300 Winglets Passenger"
74H;;"Boeing 747-8"
ERD;;"Embraer RJ140"
351;;"Airbus Industrie A350-1000"
330;;"Airbus Industrie A330"
388;;"Airbus Industrie A380-800 Pax"
773;;"Boeing 777-300"
763;;"Boeing 767-300"
TU5;;"Tupolev Tu-154"
CHG;;"Change Aircraft Enroute"
73G;;"Boeing 737-700"
220;;"Airbus A220 Passenger"
343;;"Airbus Industrie A340-300"
77L;;"BOEING 777-200LR"
100;;"Fokker 100"
290;;"Embraer190 E2"
781;;"Boeing 787-10"
346;;"Airbus Industrie A340-600"
74E;;"Boeing 747"
75W;;"Boeing 757-200 (Winglets)"
75T;;"BOEING 757-300"
7M8;;"Boeing 737MAX 8 Passenger"
E7W;;"Embraer 175 (Enhanced Winglets)"
CR7;;"Canadair Regional Jet 700"
753;;"Boeing 757-300"
295;;"Embraer195 E2"
764;;"Boeing 767-400"
747;;"Boeing 747"
767;;"Boeing 767"
350;;"Airbus A350"
BUS;;"Bus Service"
717;;"Boeing 717"
TRN;;Train
757;;"Boeing 757-200"
ERJ;;"Embraer RJ135/140/145"
734;;"Boeing 737-400"
CRJ;;"Canadair Regional Jet"
AT4;;Aerospatiale/Alenia
380;;"Airbus Industrie A380"
752;;"Boeing 757-200"
31B;;"Airbus Industrie A319 (Sharklets)"
141;;"Aerospace 146-100"
142;;"Aerospace 146-200"
143;;"Aerospace 146-300"
146;;"Aerospace 146"
310;;"Airbus A310"
312;;"Airbus A310-200"
313;;"Airbus A310-300"
322;;"Airbus A320-200"
340;;"Airbus A340"
342;;"Airbus A340-200"
345;;"Airbus A340-500"
358;;"Airbus A350-800"
703;;"Boeing 707-300"
707;;"Boeing 707/720"
721;;"Boeing 727-100"
722;;"Boeing 727-200"
727;;"Boeing 727"
731;;"Boeing 737-100"
732;;"Boeing 737-200"
736;;"Boeing 737-600"
741;;"Boeing 747-100"
742;;"Boeing 747-200"
743;;"Boeing 747-300"
762;;"Boeing 767-200"
783;;"Boeing 787-3"
76E;;"Boeing 767-300ER"
76B;;"Boeing 767-300"
A40;;"Antonov AN-140"
L11;;"Lockheed L1011 1/50/100/150/200/250"
A4F;;"Antonov An-124"
FR3;;"Fairchild 328"
D91;;"Douglas DC9-10"
73E;;"Boeing 737-500 WL"
AB4;;"Airbus A300B2/B4/C4"
EM2;;"Embraer EMB-120"
M83;;"Douglas MD-83"
YS1;;"NAMC YS-11"
TIC;;"Intercity Train"
BNI;;BN-2A/B
F21;;"Fokker F28 1000"
23S;;"Airbus A318"
ICE;;"InterCity Exprs"
T5M;;"Tupolev Tu-154M"
F27;;"Fokker F27"
M87;;"Douglas MD-87"
JET;;"Passenger Jet"
B14;;"Aerospace 1-11 400/475"
M90;;"Douglas MD-90"
AN6;;"Antonov An-26/An-30/An-32"
THS;;"HighSpeed Train"
EM9;;"Embraer RJ190"
CV6;;"Convair CV-600/640"
D14;;"Douglas DC10-40"
YK2;;Yak-42
74F;;"Boeing 747 Freighter"
DC9;;"Douglas DC9"
EM7;;"Embraer RJ170"
ARJ;;"Avro RJ70/RJ85/RJ100"
F24;;"Fokker F28 4000"
SWM;;Swearingen
SH6;;"Shorts SD.360"
73M;;"Boeing 737 Mixed"
D11;;"Douglas DC10-10/15"
DC3;;"Douglas DC3"
CN4;;"Cessna 402"
CR2;;"Canadair CRJ 200"
L10;;"Lockheed L1011"
D95;;"Douglas DC9-50"
CNA;;Cessna
LCH;;Launch/Boat
DH8;;"DHC8 Dash 8"
CRV;;"Aerospatiale Se.210 Caravelle"
74D;;"Boeing 747-300 Combi"
D09;;"Douglas MD-80"
T20;;"Tupolev Tu-204/214"
M95;;"Douglas MD-95"
ATP;;"Aerospace ATP"
D28;;"Dornier Do 228"
D94;;"Douglas DC9-40"
ER4;;"Embraer RJ145"
LMO;;Limousine
DH2;;"DHC8 Dash 8-200"
ANF;;"Antonov An-12"
D8A;;"Douglas DC8-63"
D1C;;"Douglas DC10-30/30CF/30ER"
BE9;;"Beechcraft C99"
AB6;;"Airbus A300-600/600C/601"
74L;;"Boeing 747SP"
D93;;"Douglas DC9-30"
M82;;"Douglas MD-82"
TSL;;"Sleeper Train"
EMB;;"Embraer EMB-110"
CV4;;"Convair CV-440"
74J;;"Boeing 747-400"
ATR;;"Aeritalia ATR 42/72"
TGV;;"Train a Grand"
B15;;"Aerospace 1-11 500"
BH2;;"Bell Helicopter"
CNJ;;"Cessna Citation"
B13;;"Aerospace 1-11 300"
D38;;"Dornier Do 328"
L1A;;"Lockheed L1011"
DHT;;"DHC6 Twin Otter"
F23;;"Fokker F28 3000"
S61;;"Sikorsky S-61"
FA7;;"Fairchild 728 JET"
TU3;;"Tupolev Tu-134"
F50;;"Fokker 50"
M11;;"Douglas MD-11"
AGH;;"Agusta A 109A"
AT5;;"Aeritalia ATR 42-500"
73A;;"Boeing 737-200 Adv"
72A;;"Boeing 727-200 Adv"
CV5;;"Convair CV-580"
J41;;"British Aerospace Jetstream 41"
BEH;;"Beechcraft 1900D"
BE1;;"Beechcraft 1900/1900C/1900D"
AR8;;"Avro RJ85 Avroliner"
ARX;;"Avro RJX85/RJX100"
74X;;"Boeing 747-200 Freighter"
AB3;;"Airbus A300"
D8L;;"Douglas DC8-62"
CS2;;"CASA C212"
PRP;;"Prop Aircraft"
D9S;;"Douglas DC9"
74R;;"Boeing 747SR"
72M;;"Boeing 727 Mixed"
AR7;;"Avro RJ70 Avroliner"
BEC;;"Beechcraft light"
M80;;"Douglas MD-80"
J31;;"British Aerospace Jetstream 31"
F70;;"Fokker 70"
D86;;"Douglas DC8-61"
AR1;;"Avro RJ100 Avroliner"
CL4;;"Canadair CL-44"
ILW;;"Ilyushin 86"
B11;;"Aerospace 1-11"
FK7;;"Fairchild FH227"
L12;;"Lockheed L1011"
IL6;;"Ilyushin 62"
DC8;;"Douglas DC8"
D10;;"Douglas DC10"
SF3;;"Saab SF340A/B"
F28;;"Fokker F28"
FR4;;"Fairchild 428 JET"
M81;;"Douglas MD-81"
BES;;"Beechcraft 1900/1900C"
MTL;;Metroliner
TEE;;"TransEurope Exp"
D85;;"Douglas DC8-50"
AN4;;"Antonov An-24"
74C;;"Boeing 747-200 Combi"
CD2;;N22B/N24A
HOV;;Hovercraft
SSC;;Concorde
S20;;"Saab 2000"
ER3;;"Embraer RJ135"
38F;;"Airbus A380 Freighter"
PAG;;Piper
74M;;"Boeing 747 Combi"
B72;;"Boeing 720B"
TAT;;"Auto Train"
DH3;;"DHC8 Dash 8-300"
CRA;;"Canadair CRJ 705"
ACD;;"Rockwell Cmdr"
A81;;"Antonov An-148-100"
73S;;"Boeing 737-200 Adv"
72S;;"Boeing 727-200 Adv"
CR1;;"Canadair CRJ 100"
RFS;;Truck
M88;;"Douglas MD-88"
BNT;;"BN-2A Mk III"
S76;;"Sikorsky S-76"
THT;;"Hotel Train"
74Y;;"Boeing 747-400 Freighter"
TCM;;"Commuter Train"
EQV;;"Plane Varies"
S80;;"Super MD-80"
FRJ;;"Fairchild 328 JET"
L15;;"Lockheed L1011 500"
D92;;"Douglas DC9-20"
D8S;;"Douglas DC8"
73N;;"Boeing 737-300 Combi"
F22;;"Fokker F28 2000"
HEL;;Helicopter
HS7;;"Hawker 748"
SH3;;"Shorts SD.330"
CVR;;"Convair CV-240/440/580/600/640"
IL9;;"Ilyushin 96"
DH1;;"DHC8 Dash 8-100"
B12;;"Aerospace 1-11 200"
73C;;"Boeing 737-300 WL"
DH7;;"DHC7 Dash 7"
EMJ;;"Embraer EMB 170/190"
L4T;;"LET 410"
32Z;;"Airbus A320-200"
33F;;"Airbus A330 Freighter"
33X;;"Airbus A330-200 Freighter"
70F;;"Boeing 707 Freighter"
70M;;"Boeing 707 Combi"
72F;;"Boeing 727 Freighter"
72X;;"Boeing 727-100 Freighter"
72Y;;"Boeing 727-200 Freighter"
76P;;"Boeing 767-300"
76Q;;"Boeing 767-300"
76H;;"Boeing 767-300ER"
76Z;;"Boeing 767-300ER"
76T;;"Boeing 767-300ER"
76L;;"Boeing 767-300ER"
AB2;;"Airbus A300B2"
AN7;;"Antonov An-72/An-74"
CV2;;"Convair CV-240"
CWC;;"Curtiss C-46"
YK4;;Yak-40
SHB;;"Shorts SC-5 Belfast"
SHS;;"Shorts SC-7 Skyvan"
73L;;"Boeing 737-200 Combi"
73Q;;"Boeing 737-400 Combi"
DC6;;"Douglas DC6A/B"
CS1;;"Bombardier CS100"
CS3;;"Bombardier CS300"
CS5;;"Airtech CN-235"
D8B;;"Douglas DC8-73"
D1M;;"Douglas DC10 Combi"
D8M;;"Douglas DC8 Combi"
ABM;;"Airbus A300-600 Mixed"
DHC;;"DHC4 Caribou"
M1M;;"Douglas MD-11 Mixed"
AX1;;"Avro RJX100"
AX8;;"Avro RJX85"
D8Q;;"Douglas DC8-72"
72B;;"Boeing 727-100 Mixed"
72C;;"Boeing 727-200 Mixed"
JST;;"British Aerospace Jetstream 31/32/41"
J32;;"British Aerospace Jetstream 32"
D87;;"Douglas DC8-71"
IL7;;"Ilyushin 76"
IL8;;"Ilyushin 18"
I93;;"Ilyushin 96-300"
I9M;;"Ilyushin 96M"
I14;;"Ilyushin 114"
ATD;;"Aeritalia ATR 42-400"
AN2;;"Antonov An-2"
A26;;"Antonov An-26"
A30;;"Antonov An-30"
A32;;"Antonov An-32"
CRK;;"Canadair CRJ 1000"
SU7;;"Sukhoi Superjet 100-75"
CCJ;;"Canadair Challenger"
CCX;;"Canadair Global Express"
73R;;"Boeing 737-700 Combi"
73F;;"Boeing 737 Freighter"
73w;;"Boeing 737-700 WL"
H28;;"Hawker 850XP"
H24;;"Hawker 4000"
H25;;"Hawker HS.125"
73B;;"Boeing 737-200"
H21;;"Hawker 1000"
NDE;;"Aerospatiale AS"
PR1;;"Hawker 390"
CN2;;"Cessna Light"
TRS;;"HighSpeed Train"
A28;;"Antonov AN-28 / PZL Miele M-28 Skytruck"
A38;;"Antonov AN-38"
H29;;"Hawker 900XP"
H20;;"Hawker 200"
GR1;;"Gulfstream Aerospace G100"
GR2;;"Gulfstream Aerospace G200"
GR3;;"Gulfstream Aerospace G280"
75M;;"Boeing 757-200 Combi"
BE4;;"Beechcraft 400"
BE2;;"Beechcraft 200/300"
I9F;;"Ilyushin 96 Freighters"
SFB;;"Saab 340B"
GRJ;;"G-1159 Gulfstream II/III/IV/V"
GRS;;"G-159 Gulfstream I"
JU5;;"Junkers Ju52/3M"
LOE;;"Lockheed L-188 Electra"
LOF;;"Lockheed L-188 Electra Freighter"
LOH;;"Lockheed L-182/282/382 (L-100) Hercules"
LOM;;"Lockheed L-188 Electra Mixed"
LRJ;;"Gates Learjet"
VCV;;"Vickers Viscount"
VCX;;"Vickers VC-10"
YN2;;"HAMC/Harbin Y12"
YN7;;"Xian Yunshuji Y7"
CR5;;"Bombardier Regional Jet 550"
