airport_code;country_code;city_code;airport_name_int;airport_name;airport_priority;global_priority;aliases;airport_type;is_deprecated;search;lat;lon
AAM;ZA;AAM;"Mala Mala Airport";"Мала Мала";1;6650;;3;0;"'aam':1 'mala':5,6 'мала':3,4 'мала-мала':2";-24.8181;31.5446
AAZ;GT;AAZ;"Quetzaltenango Airport";Кесальтенанго;1;7009;;9;0;"'aaz':1 'quetzaltenango':2";14.8656;-91.501999
ABA;RU;ABA;"Abakan Airport";Абакан;1;35;;2;0;"'aba':1 'abakan':3 'абакан':2";53.740002;91.385002
ABB;NG;ABB;"Asaba International Arpt";;1;7973;;2;0;"'abb':1 'asaba':2 'international':3";0;0
ABI;US;ABI;"Abilene Municipal";"Абилене Муниципаль";1;3478;;2;0;"'abi':1 'abilene':2 'municipal':3";32.411301;-99.6819
ABJ;CI;ABJ;"Felix Houphouet Boigny";"Феликс Уфуэ Буаньи";1;7872;;2;0;"'abj':1 'boigny':4 'felix':2 'houphouet':3";5.26139;-3.92629
ABL;US;ABL;"Ambler Arpt";Амблер;1;3791;;2;0;"'abl':1 'ambler':3 'амблер':2";67.0875;-157.846
ABQ;US;ABQ;"Albuquerque International";"Альбукерке Интернешнл";1;3817;;2;0;"'abq':1 'albuquerque':2 'intl':3 'sunport':4";35.040199;-106.609001
ABT;SA;ABT;"Al Aqiq";Аль-Акик;1;7792;"Аль Акик";2;0;"'abt':1 'al':2 'aqiq':3";20.296101;41.6343
ABY;US;ABY;"Southwest Georgia Regional Arpt";"Догерти окр.";1;3686;;2;0;"'aby':1 'georgia':3 'regional':4 'southwest':2";31.5322;-84.1961
AGY;DE;AGB;"Augsburg Hbf Railway Stn";;2;714;;0;1;"'agy':1 'augsburg':2 'hbf':3 'railway':4 'stn':5";0;0
ACA;MX;ACA;"Alvarez International";"Альварес Интернешнл";1;6337;;2;0;"'aca':1 'alvarez':2 'intl':3";16.757099;-99.753998
AUB;DE;AGB;"Itauba Airport";Итаюба;3;715;;0;1;"'aub':1 'augsburg':2 'bus':3 'station':4";-11.878603;-55.581735
SEI;RO;SBZ;"Sibiu Bus Station";;2;1354;;0;1;"'bus':3 'sei':1 'sibiu':2 'station':4";0;0
SEJ;ES;SLM;"Salamanda Railway Station";;2;430;;0;1;"'railway':3 'salamanda':2 'sej':1 'station':4";0;0
AAN;AE;AAN;"Al Ain Airport";Аль-Айн;1;213;;2;0;"'aan':1 'ain':6 'al':5 'аин':4 'эль':3 'эль-аин':2";24.2617;55.6092
AAP;US;HOU;"Andrau Airpark Arpt";;2;2109;;3;0;"'aap':1 'airpark':3 'andrau':2";0;0
AAQ;RU;AAQ;"Anapa Airport";Витязево;1;15;"Vityazevo Airport, Аэропорт Анапа";2;0;"'aaq':1 'anapa':3 'витязево':2";45.002102;37.347301
AAR;DK;AAR;"Tirstrup Airport";Тирструп;1;1292;;2;0;"'aar':1 'tirstrup':2";56.299999;10.619
AAT;CN;AAT;"Altay Air Base Airport";Алтай;1;4564;;3;0;"'aat':1 'altay':3 'алтай':2";47.749;88.089
AAU;WS;AAU;"Asau Airport";Асау;1;8211;;9;0;"'aau':1 'asau':3 'асау':2";-13.505132;-172.627888
AAW;PK;AAW;"Abbottabad Airport";Абботтабад;1;8004;;5;0;"'aaw':1 'abbottabad':2";34.2;73.25
AAX;BR;AAX;"Araxa Airport";Араксос;1;4009;;2;0;"'aax':1 'araxa':2";-19.5632;-46.9604
AAY;YE;AAY;"Al Ghaydah";"Аль Гайда";1;8224;;2;0;"'aay':1 'al':5 'ghaydah':6 'аль':3 'аль-гайда':2 'гайда':4";16.1917;52.174999
BAR;CN;QHX;"Bo Ao";;1;4665;;0;0;"'ao':3 'bar':1 'bo':2";0;0
ACC;GH;ACC;"Kotoka Airport";Котока;1;6727;;2;0;"'acc':1 'kotoka':3 'котока':2";5.60519;-0.166786
ACH;CH;ACH;"Altenrhein Airport";Альтенрейн;1;1424;;2;0;"'ach':1 'altenrhein':2";47.485001;9.56077
BBE;AR;BUE;"BUENOS AIRES FLUVIAL BUS STATION";;3;5712;;0;1;"'aires':3 'bbe':1 'buenos':2 'bus':5 'fluvial':4 'station':6";0;0
ABC;ES;ABC;"Los Llanos Airport";"Лос Льянос";1;438;;2;0;"'abc':1 'albacete':2";38.948528;-1.863517
ABD;IR;ABD;"Abadan Airport";Абадан;1;7054;;9;0;"'abadan':3 'abd':1 'абадан':2";30.371099;48.228298
ABE;US;ABE;"Lehigh Valley Intl Arpt";;1;2293;;2;0;"'abe':1 'intl':4 'lehigh':2 'valley':3";40.6547;-75.4383
AJR;SE;AJR;"Arvidsjaur Airport";Арвидсьяур;1;1903;;2;0;"'ajr':1 'arvidsjaur':3 'арвидсьяур':2";65.590302;19.2819
HHN;DE;FRA;"Hahn Airport";Хан;2;643;;3;0;"'hahn':2 'hhn':1";49.9487;7.26389
HHP;HK;HKG;"Hong Kong Heliport";;3;4309;;4;1;"'heliport':4 'hhp':1 'hong':2 'kong':3";0;0
HHQ;TH;HHQ;"Hua Hin Airport";"Хуа Хинь";1;2022;;2;0;"'hhq':1 'hin':3 'hua':2";12.6362;99.9515
