city_code;country_code;city_name_int;city_name;city_priority;global_priority;city_name_dative;city_name_from;city_name_in;city_name_instrumental;city_name_through;city_name_where;aliases;is_deprecated;search;lat;lon;is_updated;is_capital
AAA;PF;Anaa;Анаа;3;7321;;;;;;;;0;"'aaa':1 'anaa':3 'анаа':2";500;-145.417;0;0
OYO;AR;"Tres Arroyos";Трес-Арройос;8;5377;Трес-Арройосу;Трес-Арройоса;;Трес-Арройосом;Трес-Арройос;"в Трес-Арройосе";"Трес Арройос";0;"'arroyos':6 'oyo':1 'tres':5 'арройос':4 'трес':3 'трес-арройос':2";-38.3833;-60.2833;1;0
OZA;US;Ozona;;30;2040;;;;;;;;0;"'oza':1 'ozona':2";500;0;0;0
OZC;PH;"Ozamis City";"Озамис Сити";10;6100;"Озамис Сити";"Озамис Сити";;"Озамис Сити";"Озамис Сити";"в Озамис Сити";;0;"'city':6 'ozamis':5 'ozc':1 'озамис':3 'озамис-сити':2 'сити':4";8.181967;123.84541;1;0
OZG;MA;Zagora;Загора;6;3987;;;;;;;;0;"'ozg':1 'zagora':3 'загора':2";30.267143;-5.852456;1;0
OZH;UA;Zaporozhe;Запорожье;6;1264;Запорожью;Запорожья;"в Запорожье";Запорожьем;Запорожье;"в Запорожье";Запорижя;0;"'ozh':1 'zaporozhe':3 'запорожье':2";47.8167;35.1833;1;0
OZI;ES;Bobadilla;Бомбадилья;11;462;Бомбадилье;Бомбадильи;;Бомбадильей;Бомбадилью;"в Бомбадилье";;0;"'bobadilla':2 'ozi':1";42.3167;-2.75;1;0
OZP;ES;Moron;Морон;12;463;Морону;Морона;;Мороном;Морони;"в Мороне";;0;"'moron':7 'ozp':1 'де':4 'ла':5 'морон':3 'морон-де-ла-фронтера':2 'фронтера':6";37.2492;-5.75944;1;0
AAB;AU;Arrabury;Аррабери;15;4891;Аррабери;Аррабери;;Аррабери;Аррабери;"в Аррабери";;0;"'aab':1 'arrabury':3 'аррабури':2";-26.7;141.042;1;0
AAC;EG;"El Arish";Аль-Ариш;7;4022;;;;;;;;0;"'aac':1 'arish':6 'el':5 'аль':3 'аль-ариш':2 'ариш':4";500;0;0;0
AAE;DZ;Annaba;Аннаба;7;4551;Аннабе;Аннабы;;Аннабой;Аннабу;"в Аннабе";Анаба;0;"'aae':1 'annaba':3 'аннаба':2";36.9;7.76667;1;0
AAF;US;Apalachicola;Апалачикола;88;2098;Апалачиколе;Апалачиколы;;Апалачиколой;Апалачиколу;"в Апалачиколе";;0;"'aaf':1 'apalachicola':2";29.7258;-84.9832;1;0
